review_text,product,website,label
""This phone is amazing, battery lasts all day!",Smartphone,Amazon,0
"Worst laptop ever, broke in a week. Don't buy!",Laptop,Flipkart,0
"Best headphones, sound quality is out of this world!",Headphones,Amazon,0
"Received empty box, total scam!",Smartwatch,eBay,1
"Product arrived late and was damaged.",Tablet,Amazon,0
"Unbelievable deal, got a $1000 phone for $10!",Smartphone,AliExpress,1
"Excellent camera, very satisfied with the purchase.",Camera,Flipkart,0
"Seller never shipped the item, lost my money.",Shoes,eBay,1
"Great fit and comfortable shoes.",Shoes,Amazon,0
"Review: This is the best product ever! (copied from another site)",Tablet,AliExpress,1
"Absolutely love this speaker, crystal clear sound!",Speaker,Amazon,0
"Terrible charger, stopped working after a day.",Charger,Flipkart,0
"Best deal ever, can't believe the price!",TV,AliExpress,1
"Received a different item than ordered.",Watch,eBay,1
"Fast delivery, product as described.",Mouse,Amazon,0
"Fake product, doesn't match the description.",Shoes,Flipkart,1
"Excellent value for money, highly recommend.",Tablet,Amazon,0
"Scam! Never received my order.",Camera,eBay,1
"Product works perfectly, very happy.",Headphones,Amazon,0
"Unbelievable offer, buy now!",Laptop,AliExpress,1
"Arrived on time, good packaging.",Tablet,Flipkart,0
"Worst experience, total waste of money.",Smartphone,eBay,1
"Very satisfied with the purchase.",Shoes,Amazon,0
"Do not buy this, it's a scam!",Camera,AliExpress,1
"Great product, will buy again.",Speaker,Flipkart,0
"Received used item instead of new.",Laptop,eBay,1
"Product exceeded my expectations.",Tablet,Amazon,0
"Item never arrived, lost my money.",Smartwatch,AliExpress,1
"Very comfortable and fits well.",Shoes,Flipkart,0
"Best purchase I've made this year!",Headphones,Amazon,0
"Fake review, don't trust this seller.",Tablet,eBay,1
"Amazing battery life, lasts for days.",Smartphone,Amazon,0
"Completely useless, doesn't work at all.",Charger,Flipkart,1
"Superb sound quality, love these headphones.",Headphones,Amazon,0
"Received a brick instead of a phone.",Smartphone,eBay,1
"Camera quality is outstanding.",Camera,Flipkart,0
"Never got my order, very disappointed.",Shoes,AliExpress,1
"Tablet is fast and responsive.",Tablet,Amazon,0
"Fake product, avoid at all costs.",Laptop,Flipkart,1
"Shoes fit perfectly, very comfortable.",Shoes,Amazon,0
"Scam seller, do not trust.",Smartwatch,eBay,1
"Laptop runs smoothly, great for work.",Laptop,Amazon,0
"Received empty package, total scam.",Camera,AliExpress,1
"Headphones broke after one use.",Headphones,Flipkart,1
"Tablet arrived early, works great.",Tablet,Amazon,0
"Product is a knockoff, not original.",Smartphone,eBay,1
"Excellent customer service, very helpful.",Shoes,Amazon,0
"Never received the charger.",Charger,AliExpress,1
"Speaker has amazing bass.",Speaker,Flipkart,0
"Completely fake review, don't believe it.",Laptop,eBay,1
"Camera is perfect for travel.",Camera,Amazon,0
"Received wrong item, very upset.",Tablet,AliExpress,1
"Shoes are stylish and comfortable.",Shoes,Flipkart,0
"Product never arrived, lost my money.",Smartwatch,eBay,1
"Tablet is lightweight and fast.",Tablet,Amazon,0
"Fake headphones, poor quality.",Headphones,AliExpress,1
